model_name,skill_type,dataset_size,ROUGE-1-F1,ROUGE-L-F1,ROUGE-1-Recall,ROUGE-L-Recall,BERTScore-Recall,BERTScore-F1,CosineSimilarity,SBC-Score,SBC-SemanticScore,SBC-CompletenessScore,SBC-CosineScore
eprasad/t5-small-llama70b-distill-summarization,summarization,500,0.2846820792138477,0.19896707223331686,0.42263999993352375,0.2961427622478393,0.8651453924179077,0.8581189948320389,0.6100823,0.6899852752685547,0.8581189948320389,0.14146884601097465,0.6100823283195496
eprasad/t5-small-qwen3-distill-summarization,summarization,500,0.2771478344888781,0.18971680071313568,0.4142712138471636,0.28416744100000607,0.8634886817932129,0.8558678429126739,0.5985249,0.6855213046073914,0.8558678429126739,0.1328065464393691,0.5985249280929565
AhilanPonnusamy/distilled-t5small-summarizer,summarization,500,0.2955939252438941,0.21949548848373787,0.3003044508327444,0.2225784355271568,0.8552123049497604,0.8641510413885116,0.5977232,0.6947818398475647,0.8641510413885116,0.15051922593483616,0.5977231860160828
t5-small,summarization,600,0.2927148074398556,0.21474972899545644,0.32127559774591075,0.23651920078771543,0.8534551790356636,0.859506142437458,0.56083477,0.6865339279174805,0.859506142437458,0.14398060396376286,0.5608347654342651
eprasad/t5-small-llama70b-distill-summarization,summarization,600,0.2837225100183909,0.1969994939909304,0.4247007679662436,0.29582188183141034,0.8650535082817078,0.8576434000333151,0.6061767,0.6890849471092224,0.8576434000333151,0.14058440039105838,0.6061766743659973
eprasad/t5-small-qwen3-distill-summarization,summarization,600,0.2742658711074355,0.18617509855823727,0.4136492029561056,0.28152213560863737,0.8629161739349365,0.8550942992170651,0.5932178,0.6841108202934265,0.8550942992170651,0.13111528046588616,0.5932177901268005
AhilanPonnusamy/distilled-t5small-summarizer,summarization,600,0.29308544131162423,0.21777979277656706,0.29929872412406006,0.22223612634893583,0.8552013199528058,0.86385929475228,0.59408826,0.6939052939414978,0.86385929475228,0.14897472961602942,0.5940882563591003
t5-small,summarization,700,0.29228693857230237,0.21425735302660634,0.3226968636180829,0.23747598367370099,0.8537125183003289,0.8595480397769383,0.55976635,0.6864681243896484,0.8595480397769383,0.14403935226157907,0.5597663521766663
eprasad/t5-small-llama70b-distill-summarization,summarization,700,0.2816632216408218,0.19555148145874188,0.4248486461886781,0.29611396628453335,0.8650034308433533,0.8573092402730669,0.6067171,0.6885949373245239,0.8573092402730669,0.1390336571777209,0.6067171096801758
eprasad/t5-small-qwen3-distill-summarization,summarization,700,0.27500152152042845,0.18718625902137984,0.4172532144307867,0.28476904636784794,0.8633267994437899,0.8552581098249981,0.5956638,0.6845079660415649,0.8552581098249981,0.13130453127285846,0.5956637859344482
AhilanPonnusamy/distilled-t5small-summarizer,summarization,700,0.2953734681535062,0.21886110617717902,0.30301768386563543,0.2244885858824221,0.8556437888315745,0.8639730949061257,0.5976035,0.6947582364082336,0.8639730949061257,0.15108357760903546,0.5976034998893738
t5-small,summarization,800,0.2883567576635642,0.21148161651870523,0.3195781575193974,0.23518438139462738,0.8534033159166574,0.8591264629364014,0.555745,0.6852879524230957,0.8591264629364014,0.1416248790327905,0.555745005607605
eprasad/t5-small-llama70b-distill-summarization,summarization,800,0.27768000060298453,0.19332675480219955,0.42006988646808324,0.2939405129274346,0.8644873078167439,0.8568579898029566,0.60448605,0.6875605583190918,0.8568579898029566,0.1365567299667724,0.6044860482215881
eprasad/t5-small-qwen3-distill-summarization,summarization,800,0.27182192145150114,0.1854080247176163,0.41290220605311667,0.28225949892752517,0.8628403406590224,0.8549691711366176,0.5948847,0.6839427351951599,0.8549691711366176,0.12987916269826452,0.5948846936225891
AhilanPonnusamy/distilled-t5small-summarizer,summarization,800,0.29447209723414053,0.21856042180972993,0.3034374061715822,0.22521317877364008,0.8557727209478617,0.86390511572361,0.5953239,0.6943590641021729,0.86390511572361,0.1504652860046599,0.595323920249939
t5-small,summarization,900,0.28629676434773577,0.20966931330494376,0.31626181780072316,0.23256972803972473,0.8528497707843781,0.858715680970086,0.5554072,0.6846131682395935,0.858715680970086,0.13985747204501275,0.5554072260856628
eprasad/t5-small-llama70b-distill-summarization,summarization,900,0.2768577150390188,0.1920454456917592,0.4163642180319745,0.29008785677454674,0.8636817828151915,0.8563033443689346,0.60247993,0.686847448348999,0.8563033443689346,0.13593582014247674,0.6024799346923828
eprasad/t5-small-qwen3-distill-summarization,summarization,900,0.27292872590545303,0.18589391130755095,0.4122896230108382,0.2813582958128511,0.8627292237679164,0.8549259067243999,0.59491044,0.6841875314712524,0.8549259067243999,0.13124195415046475,0.5949104428291321
AhilanPonnusamy/distilled-t5small-summarizer,summarization,900,0.29212554741679647,0.2157911471852976,0.30058756259183006,0.22211446279284552,0.8551394292381075,0.8634089123540455,0.5948207,0.6937729120254517,0.8634089123540455,0.14952303503492798,0.5948206782341003
ooor/t5-small-distilled-summarization,summarization,100,0.30825520814427376,0.22723149089069625,0.33508258287305664,0.24762781520206822,0.8573439908027649,0.8630309599637985,0.5888041,0.6946836113929749,0.8630309599637985,0.1584078109967516,0.5888041257858276
ooor/t5-small-distilled-summarization,summarization,200,0.2979144470221147,0.21493572899564448,0.3228468938678229,0.23380416286978034,0.8561133849620819,0.8613344526290894,0.5863313,0.6926832795143127,0.8613344526290894,0.15558006879341657,0.586331307888031
ooor/t5-small-distilled-summarization,summarization,300,0.2929732346687653,0.2096793727425958,0.31816285758781876,0.22831038061301395,0.8560145876804988,0.8612212628126145,0.5895764,0.6922358870506287,0.8612212628126145,0.15211674079585638,0.5895764231681824
